timestamp,Wkdy/Wknd,arrive116Time,arrive96Time,arrive42Time,Recommendation
70373.0,0.0,70839.0,71079.0,71739.0,1.0
70373.0,0.0,71311.0,71551.0,72271.0,0.0
70373.0,0.0,71760.0,72000.0,72660.0,1.0
71978.0,0.0,72412.0,72652.0,73312.0,1.0
71978.0,0.0,72695.0,72935.0,73655.0,0.0
71978.0,0.0,73176.0,73416.0,74076.0,1.0
73583.0,0.0,73729.0,73969.0,74629.0,1.0
73583.0,0.0,74264.0,74504.0,75224.0,0.0
73583.0,0.0,74605.0,74845.0,75505.0,1.0
73583.0,0.0,75120.0,75360.0,76020.0,0.0
75233.0,0.0,75700.0,75940.0,76660.0,0.0
75233.0,0.0,76165.0,76405.0,77065.0,0.0
75233.0,0.0,76567.0,76807.0,77467.0,1.0
75233.0,0.0,77040.0,77280.0,78000.0,0.0
75233.0,0.0,77580.0,77820.0,78480.0,0.0
75233.0,0.0,78240.0,78480.0,79140.0,1.0
78503.0,0.0,78946.0,79186.0,79936.0,0.0
78503.0,0.0,79463.0,79703.0,80363.0,0.0
78503.0,0.0,80130.0,80370.0,81120.0,0.0
80243.0,0.0,80848.0,81088.0,81748.0,1.0
80243.0,0.0,81479.0,81719.0,82379.0,1.0
81968.0,0.0,82201.0,82441.0,83191.0,1.0
81968.0,0.0,82942.0,83182.0,83842.0,1.0
81968.0,0.0,83640.0,83880.0,84540.0,1.0
83663.0,0.0,84509.0,84749.0,85409.0,1.0
83663.0,0.0,85380.0,85620.0,86280.0,0.0
40602.0,1.0,40587.0,40827.0,41487.0,0.0
40812.0,1.0,40805.0,41045.0,41705.0,1.0
41172.0,1.0,41177.0,41417.0,42077.0,0.0
41487.0,1.0,41483.0,41723.0,42383.0,0.0
41862.0,1.0,41872.0,42112.0,42772.0,1.0
42207.0,1.0,42219.0,42459.0,43119.0,0.0
42567.0,1.0,42666.0,42906.0,43566.0,0.0
42927.0,1.0,42952.0,43192.0,43852.0,1.0
43332.0,1.0,43352.0,43592.0,44252.0,1.0
43707.0,1.0,43696.0,43936.0,44596.0,0.0
43947.0,1.0,44072.0,44312.0,44972.0,1.0
44292.0,1.0,44435.0,44675.0,45335.0,0.0
44427.0,1.0,44798.0,45038.0,45698.0,1.0
45117.0,1.0,45115.0,45355.0,46015.0,0.0
45462.0,1.0,45487.0,45727.0,46387.0,0.0
45462.0,1.0,45922.0,46162.0,46822.0,0.0
45462.0,1.0,46236.0,46476.0,47136.0,0.0
45462.0,1.0,46604.0,46844.0,47504.0,1.0
45462.0,1.0,46985.0,47225.0,47885.0,1.0
47127.0,1.0,47284.0,47524.0,48184.0,0.0
47127.0,1.0,47692.0,47932.0,48592.0,0.0
47127.0,1.0,47931.0,48171.0,48831.0,1.0
47127.0,1.0,48396.0,48636.0,49296.0,1.0
47127.0,1.0,48780.0,49020.0,49680.0,0.0
49002.0,1.0,49142.0,49382.0,50042.0,0.0
49002.0,1.0,49497.0,49737.0,50397.0,1.0
49002.0,1.0,49871.0,50111.0,50771.0,0.0
49002.0,1.0,50227.0,50467.0,51127.0,0.0
49002.0,1.0,50580.0,50820.0,51480.0,0.0
50772.0,1.0,50909.0,51149.0,51809.0,0.0
50772.0,1.0,51304.0,51544.0,52204.0,0.0
50772.0,1.0,51635.0,51875.0,52535.0,0.0
50772.0,1.0,51984.0,52224.0,52884.0,0.0
50772.0,1.0,52380.0,52620.0,53280.0,0.0
52527.0,1.0,52749.0,52989.0,53649.0,0.0
52527.0,1.0,53101.0,53341.0,54001.0,0.0
52527.0,1.0,53466.0,53706.0,54366.0,0.0
52527.0,1.0,53779.0,54019.0,54679.0,0.0
52527.0,1.0,54090.0,54330.0,54990.0,0.0
52527.0,1.0,54390.0,54630.0,55290.0,0.0
58242.0,1.0,54690.0,54930.0,55590.0,0.0
54402.0,1.0,54957.0,55197.0,55887.0,1.0
54402.0,1.0,55371.0,55611.0,56301.0,0.0
54402.0,1.0,55571.0,55811.0,56501.0,0.0
54402.0,1.0,55890.0,56130.0,56820.0,0.0
54402.0,1.0,56190.0,56430.0,57120.0,0.0
56277.0,1.0,56497.0,56737.0,57427.0,0.0
56277.0,1.0,56887.0,57127.0,57817.0,0.0
56277.0,1.0,57090.0,57330.0,58020.0,0.0
56277.0,1.0,57547.0,57787.0,58477.0,0.0
56277.0,1.0,57690.0,57930.0,58620.0,0.0
56277.0,1.0,57990.0,58230.0,58920.0,0.0
58242.0,1.0,58270.0,58510.0,59200.0,1.0
58242.0,1.0,58492.0,58732.0,59422.0,0.0
58242.0,1.0,58727.0,58967.0,59657.0,0.0
58242.0,1.0,59144.0,59384.0,60074.0,0.0
58242.0,1.0,59230.0,59470.0,60160.0,0.0
58242.0,1.0,59500.0,59740.0,60430.0,0.0
58242.0,1.0,59730.0,59970.0,60660.0,0.0
58242.0,1.0,59970.0,60210.0,60900.0,0.0
60177.0,1.0,60268.0,60508.0,61198.0,0.0
60177.0,1.0,60496.0,60736.0,61426.0,0.0
60177.0,1.0,60701.0,60941.0,61631.0,0.0
60177.0,1.0,60947.0,61187.0,61877.0,0.0
60177.0,1.0,61099.0,61339.0,62029.0,0.0
60177.0,1.0,61355.0,61595.0,62285.0,0.0
60177.0,1.0,61650.0,61890.0,62580.0,0.0
60177.0,1.0,61890.0,62130.0,62820.0,1.0
60177.0,1.0,62130.0,62370.0,63060.0,0.0
62262.0,1.0,62473.0,62713.0,63403.0,1.0
62262.0,1.0,62705.0,62945.0,63635.0,0.0
62262.0,1.0,62985.0,63225.0,63915.0,0.0
62262.0,1.0,63158.0,63398.0,64088.0,0.0
62262.0,1.0,63316.0,63556.0,64246.0,0.0
62262.0,1.0,63630.0,63870.0,64560.0,0.0
62262.0,1.0,63930.0,64170.0,64860.0,0.0
62262.0,1.0,64200.0,64440.0,65130.0,0.0
64377.0,1.0,64476.0,64716.0,65406.0,0.0
64377.0,1.0,64832.0,65072.0,65762.0,0.0
64377.0,1.0,65027.0,65267.0,65957.0,0.0
64377.0,1.0,65313.0,65553.0,66243.0,1.0
64377.0,1.0,65558.0,65798.0,66488.0,0.0
64377.0,1.0,65820.0,66060.0,66750.0,1.0
64377.0,1.0,66090.0,66330.0,67020.0,0.0
64377.0,1.0,66360.0,66600.0,67290.0,0.0
66492.0,1.0,66663.0,66903.0,67593.0,0.0
64377.0,1.0,66900.0,67140.0,67830.0,0.0
66492.0,1.0,67129.0,67369.0,68059.0,0.0
64377.0,1.0,67170.0,67410.0,68100.0,0.0
66492.0,1.0,67457.0,67697.0,68387.0,0.0
66492.0,1.0,67830.0,68070.0,68760.0,1.0
66492.0,1.0,67920.0,68160.0,68850.0,0.0
66492.0,1.0,68190.0,68430.0,69120.0,0.0
66492.0,1.0,68460.0,68700.0,69390.0,1.0
66492.0,1.0,68730.0,68970.0,69660.0,0.0
66492.0,1.0,69000.0,69240.0,69930.0,1.0
66492.0,1.0,69270.0,69510.0,70200.0,1.0
66492.0,1.0,69540.0,69780.0,70470.0,0.0
70647.0,1.0,70776.0,71016.0,71676.0,0.0
70647.0,1.0,70990.0,71230.0,71890.0,0.0
70647.0,1.0,71158.0,71398.0,72058.0,0.0
70647.0,1.0,71368.0,71608.0,72268.0,0.0
70647.0,1.0,71647.0,71887.0,72547.0,1.0
70647.0,1.0,71921.0,72161.0,72821.0,0.0
70647.0,1.0,72240.0,72480.0,73140.0,1.0
70647.0,1.0,72510.0,72750.0,73410.0,0.0
